intent;mensaje;enlaces;frases
recomendar_medidas;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://alerta.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.cenepred.gob.pe']";"['cómo actuar durante una emergencia';'sugerencias sobre la calidad del aire']"
reportar_evento;Quiero reportar un huaico en mi zona.;"['https://www.ssalud.gob.pe';'https://www.cenepred.gob.pe';'https://www.onu.org.pe/prevencion']";"['cómo actuar durante una emergencia';'cómo participar en un simulacro';'explicación de desastres naturales';'guía de preparación familiar']"
recomendar_medidas;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.onu.org.pe/prevencion';'https://www.unisdr.org';'https://www.senamhi.gob.pe';'https://www.cruzroja.org.pe']";"['cómo participar en un simulacro';'prevención ante sismos';'líneas de ayuda y emergencia';'protocolos de evacuación']"
simulacro_fecha;Quiero reportar un huaico en mi zona.;"['https://www.digemid.minsa.gob.pe';'https://alerta.peru.gob.pe']";"['sugerencias sobre la calidad del aire';'alertas meteorológicas vigentes';'medidas ante lluvias intensas';'qué hacer si hay un huaico']"
despedida;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe';'https://www.defensacivil.gob.pe']";"['líneas de ayuda y emergencia';'prevención ante sismos';'medidas ante lluvias intensas';'dónde acudir en caso de desastre']"
ayuda;Agradezco la ayuda brindada.;"['https://www.gob.pe/indeci';'https://www.senamhi.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['sugerencias sobre la calidad del aire';'protocolos de evacuación']"
explicar_tipo_desastre;¿Puedes explicarme qué es un aluvión?;"['https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['cómo actuar durante una emergencia';'dónde acudir en caso de desastre';'alertas meteorológicas vigentes']"
despedida;Quiero reportar un huaico en mi zona.;"['https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe';'https://www.cruzroja.org.pe']";"['protocolos de evacuación';'explicación de desastres naturales';'qué hacer si hay un huaico']"
intencion_desconocida;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe';'https://www.defensacivil.gob.pe']";"['líneas de ayuda y emergencia';'guía de preparación familiar';'qué hacer si hay un huaico']"
intencion_desconocida;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.ssalud.gob.pe';'https://www.unisdr.org';'https://www.onu.org.pe/prevencion';'https://www.minsa.gob.pe']";"['prevención ante sismos';'guía de preparación familiar']"
reportar_evento;¿Puedes explicarme qué es un aluvión?;"['https://www.digemid.minsa.gob.pe';'https://www.defensacivil.gob.pe';'https://www.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['medidas ante lluvias intensas';'cómo participar en un simulacro';'alertas meteorológicas vigentes';'guía de preparación familiar']"
intencion_desconocida;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cenepred.gob.pe';'https://alerta.peru.gob.pe']";"['dónde acudir en caso de desastre';'líneas de ayuda y emergencia';'medidas ante lluvias intensas';'protocolos de evacuación']"
lenguaje_inapropiado;Indícame cómo protegerme de la mala calidad del aire.;"['https://alerta.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.unisdr.org';'https://www.ssalud.gob.pe']";"['guía de preparación familiar';'qué hacer si hay un huaico';'protocolos de evacuación']"
recomendar_medidas;Buenos días, ¿qué temas cubre este asistente?;"['https://www.peru.gob.pe';'https://www.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['explicación de desastres naturales';'líneas de ayuda y emergencia';'cómo actuar durante una emergencia']"
rutas_evacuacion;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe']";"['explicación de desastres naturales';'medidas ante lluvias intensas';'líneas de ayuda y emergencia']"
rutas_evacuacion;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.cruzroja.org.pe';'https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe';'https://www.digemid.minsa.gob.pe']";"['prevención ante sismos';'cómo participar en un simulacro';'medidas ante lluvias intensas']"
intencion_desconocida;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.ssalud.gob.pe';'https://www.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe']";"['explicación de desastres naturales';'guía de preparación familiar';'medidas ante lluvias intensas']"
agradecimiento;Buenos días, ¿qué temas cubre este asistente?;"['https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe']";"['medidas ante lluvias intensas';'alertas meteorológicas vigentes']"
ayuda;Agradezco la ayuda brindada.;"['https://www.cenepred.gob.pe';'https://www.senamhi.gob.pe']";"['sugerencias sobre la calidad del aire';'qué hacer si hay un huaico';'cómo participar en un simulacro';'explicación de desastres naturales']"
saludo;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.onu.org.pe/prevencion';'https://www.senamhi.gob.pe']";"['sugerencias sobre la calidad del aire';'cómo participar en un simulacro']"
recomendar_medidas;No entiendo lo que estás diciendo.;"['https://www.gob.pe/indeci';'https://www.onu.org.pe/prevencion';'https://www.minsa.gob.pe']";"['sugerencias sobre la calidad del aire';'medidas ante lluvias intensas';'cómo participar en un simulacro']"
reportar_evento;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe';'https://www.defensacivil.gob.pe']";"['medidas ante lluvias intensas';'dónde acudir en caso de desastre';'alertas meteorológicas vigentes';'explicación de desastres naturales']"
saludo;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe';'https://www.peru.gob.pe';'https://www.gob.pe/indeci']";"['dónde acudir en caso de desastre';'prevención ante sismos']"
calidad_del_aire;¿Puedes explicarme qué es un aluvión?;"['https://www.gob.pe/indeci';'https://www.onu.org.pe/prevencion';'https://www.ssalud.gob.pe';'https://www.digemid.minsa.gob.pe']";"['cómo participar en un simulacro';'medidas ante lluvias intensas';'líneas de ayuda y emergencia']"
obtener_pronostico;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['protocolos de evacuación';'medidas ante lluvias intensas';'alertas meteorológicas vigentes']"
explicar_tipo_desastre;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.defensacivil.gob.pe';'https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe']";"['cómo actuar durante una emergencia';'líneas de ayuda y emergencia';'prevención ante sismos';'sugerencias sobre la calidad del aire']"
lenguaje_inapropiado;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.senamhi.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.minsa.gob.pe']";"['qué hacer si hay un huaico';'guía de preparación familiar';'medidas ante lluvias intensas';'sugerencias sobre la calidad del aire']"
lenguaje_inapropiado;Hola, gracias por la atención.;"['https://www.gob.pe/indeci';'https://www.peru.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.unisdr.org']";"['sugerencias sobre la calidad del aire';'explicación de desastres naturales';'dónde acudir en caso de desastre';'alertas meteorológicas vigentes']"
plan_emergencia;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe']";"['protocolos de evacuación';'sugerencias sobre la calidad del aire']"
ayuda;Agradezco la ayuda brindada.;"['https://www.peru.gob.pe';'https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe';'https://www.gob.pe/indeci']";"['explicación de desastres naturales';'guía de preparación familiar';'líneas de ayuda y emergencia';'protocolos de evacuación']"
rutas_evacuacion;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.peru.gob.pe';'https://www.gob.pe/indeci']";"['alertas meteorológicas vigentes';'dónde acudir en caso de desastre';'líneas de ayuda y emergencia']"
refugios_cercanos;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.defensacivil.gob.pe';'https://www.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe']";"['qué hacer si hay un huaico';'dónde acudir en caso de desastre']"
explicar_tipo_desastre;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.ssalud.gob.pe';'https://www.cenepred.gob.pe']";"['explicación de desastres naturales';'líneas de ayuda y emergencia';'dónde acudir en caso de desastre';'guía de preparación familiar']"
obtener_pronostico;Agradezco la ayuda brindada.;"['https://alerta.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.minsa.gob.pe']";"['líneas de ayuda y emergencia';'cómo participar en un simulacro';'medidas ante lluvias intensas']"
obtener_pronostico;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.unisdr.org';'https://www.cenepred.gob.pe';'https://www.cruzroja.org.pe';'https://www.senamhi.gob.pe']";"['cómo participar en un simulacro';'cómo actuar durante una emergencia';'guía de preparación familiar']"
calidad_del_aire;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.defensacivil.gob.pe';'https://alerta.peru.gob.pe']";"['prevención ante sismos';'líneas de ayuda y emergencia';'medidas ante lluvias intensas']"
simulacro_fecha;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.digemid.minsa.gob.pe';'https://alerta.peru.gob.pe']";"['prevención ante sismos';'medidas ante lluvias intensas']"
explicar_tipo_desastre;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.unisdr.org';'https://www.gob.pe/indeci';'https://www.onu.org.pe/prevencion']";"['protocolos de evacuación';'explicación de desastres naturales']"
rutas_evacuacion;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.defensacivil.gob.pe';'https://www.cenepred.gob.pe']";"['líneas de ayuda y emergencia';'medidas ante lluvias intensas';'protocolos de evacuación']"
recomendar_medidas;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.gob.pe/indeci';'https://www.minsa.gob.pe';'https://www.defensacivil.gob.pe';'https://alerta.peru.gob.pe']";"['cómo participar en un simulacro';'medidas ante lluvias intensas']"
saludo;¿Puedes explicarme qué es un aluvión?;"['https://www.senamhi.gob.pe';'https://www.minsa.gob.pe';'https://www.defensacivil.gob.pe']";"['sugerencias sobre la calidad del aire';'alertas meteorológicas vigentes';'prevención ante sismos';'guía de preparación familiar']"
calidad_del_aire;Quiero reportar un huaico en mi zona.;"['https://www.gob.pe/indeci';'https://www.unisdr.org']";"['sugerencias sobre la calidad del aire';'cómo actuar durante una emergencia';'protocolos de evacuación';'dónde acudir en caso de desastre']"
refugios_cercanos;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe']";"['dónde acudir en caso de desastre';'explicación de desastres naturales';'cómo actuar durante una emergencia']"
lenguaje_inapropiado;¿Puedes explicarme qué es un aluvión?;"['https://www.unisdr.org';'https://www.senamhi.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.gob.pe/indeci']";"['sugerencias sobre la calidad del aire';'qué hacer si hay un huaico']"
refugios_cercanos;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.cenepred.gob.pe';'https://alerta.peru.gob.pe';'https://www.peru.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire';'guía de preparación familiar';'cómo participar en un simulacro']"
calidad_del_aire;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.gob.pe/indeci';'https://www.minsa.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.unisdr.org']";"['protocolos de evacuación';'prevención ante sismos']"
reportar_evento;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.ssalud.gob.pe';'https://www.peru.gob.pe']";"['explicación de desastres naturales';'dónde acudir en caso de desastre';'qué hacer si hay un huaico';'sugerencias sobre la calidad del aire']"
simulacro_fecha;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.peru.gob.pe';'https://www.cruzroja.org.pe';'https://www.defensacivil.gob.pe']";"['cómo actuar durante una emergencia';'medidas ante lluvias intensas']"
explicar_tipo_desastre;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.cruzroja.org.pe';'https://www.minsa.gob.pe']";"['cómo actuar durante una emergencia';'qué hacer si hay un huaico';'protocolos de evacuación']"
agradecimiento;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cruzroja.org.pe';'https://www.gob.pe/indeci';'https://www.defensacivil.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire';'explicación de desastres naturales';'prevención ante sismos']"
simulacro_fecha;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.digemid.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['qué hacer si hay un huaico';'sugerencias sobre la calidad del aire']"
alertas_meteorologicas;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.senamhi.gob.pe';'https://www.digemid.minsa.gob.pe']";"['explicación de desastres naturales';'líneas de ayuda y emergencia';'qué hacer si hay un huaico';'dónde acudir en caso de desastre']"
rutas_evacuacion;No entiendo lo que estás diciendo.;"['https://www.peru.gob.pe';'https://alerta.peru.gob.pe']";"['prevención ante sismos';'dónde acudir en caso de desastre';'qué hacer si hay un huaico']"
saludo;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.gob.pe/indeci';'https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion']";"['dónde acudir en caso de desastre';'líneas de ayuda y emergencia']"
despedida;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.onu.org.pe/prevencion';'https://www.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['alertas meteorológicas vigentes';'líneas de ayuda y emergencia';'explicación de desastres naturales']"
intencion_desconocida;Hola, gracias por la atención.;"['https://www.unisdr.org';'https://www.cruzroja.org.pe';'https://www.minsa.gob.pe']";"['explicación de desastres naturales';'alertas meteorológicas vigentes']"
rutas_evacuacion;Buenos días, ¿qué temas cubre este asistente?;"['https://www.cruzroja.org.pe';'https://www.gob.pe/indeci']";"['medidas ante lluvias intensas';'cómo actuar durante una emergencia']"
alertas_meteorologicas;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe';'https://www.peru.gob.pe']";"['explicación de desastres naturales';'medidas ante lluvias intensas';'guía de preparación familiar']"
calidad_del_aire;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe']";"['explicación de desastres naturales';'alertas meteorológicas vigentes']"
recomendar_medidas;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.ssalud.gob.pe';'https://www.cenepred.gob.pe';'https://www.senamhi.gob.pe']";"['dónde acudir en caso de desastre';'cómo actuar durante una emergencia';'cómo participar en un simulacro';'protocolos de evacuación']"
ayuda;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cruzroja.org.pe';'https://www.onu.org.pe/prevencion';'https://www.unisdr.org';'https://www.ssalud.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire';'dónde acudir en caso de desastre']"
saludo;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.defensacivil.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.peru.gob.pe';'https://www.cenepred.gob.pe']";"['qué hacer si hay un huaico';'sugerencias sobre la calidad del aire']"
recomendar_medidas;Agradezco la ayuda brindada.;"['https://www.ssalud.gob.pe';'https://www.minsa.gob.pe';'https://alerta.peru.gob.pe']";"['alertas meteorológicas vigentes';'protocolos de evacuación';'qué hacer si hay un huaico']"
recomendar_medidas;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.gob.pe/indeci';'https://www.defensacivil.gob.pe';'https://www.ssalud.gob.pe']";"['guía de preparación familiar';'medidas ante lluvias intensas';'cómo participar en un simulacro';'líneas de ayuda y emergencia']"
plan_emergencia;Quiero reportar un huaico en mi zona.;"['https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe';'https://www.gob.pe/indeci']";"['prevención ante sismos';'dónde acudir en caso de desastre']"
simulacro_fecha;No entiendo lo que estás diciendo.;"['https://www.onu.org.pe/prevencion';'https://www.minsa.gob.pe';'https://www.digemid.minsa.gob.pe']";"['cómo actuar durante una emergencia';'líneas de ayuda y emergencia']"
obtener_pronostico;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.onu.org.pe/prevencion';'https://www.unisdr.org';'https://alerta.peru.gob.pe';'https://www.peru.gob.pe']";"['cómo actuar durante una emergencia';'explicación de desastres naturales';'guía de preparación familiar']"
rutas_evacuacion;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.peru.gob.pe';'https://www.unisdr.org';'https://alerta.peru.gob.pe';'https://www.gob.pe/indeci']";"['qué hacer si hay un huaico';'medidas ante lluvias intensas';'prevención ante sismos';'guía de preparación familiar']"
intencion_desconocida;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.ssalud.gob.pe';'https://www.gob.pe/indeci']";"['alertas meteorológicas vigentes';'dónde acudir en caso de desastre';'medidas ante lluvias intensas';'líneas de ayuda y emergencia']"
despedida;Hola, gracias por la atención.;"['https://www.peru.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe';'https://www.unisdr.org']";"['líneas de ayuda y emergencia';'dónde acudir en caso de desastre';'protocolos de evacuación']"
simulacro_fecha;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.cenepred.gob.pe';'https://www.defensacivil.gob.pe';'https://www.unisdr.org']";"['sugerencias sobre la calidad del aire';'prevención ante sismos';'cómo actuar durante una emergencia';'protocolos de evacuación']"
rutas_evacuacion;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.cenepred.gob.pe';'https://www.minsa.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.unisdr.org']";"['alertas meteorológicas vigentes';'guía de preparación familiar';'protocolos de evacuación']"
intencion_desconocida;Hola, gracias por la atención.;"['https://www.onu.org.pe/prevencion';'https://www.digemid.minsa.gob.pe';'https://www.minsa.gob.pe']";"['cómo actuar durante una emergencia';'dónde acudir en caso de desastre';'alertas meteorológicas vigentes']"
despedida;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.senamhi.gob.pe';'https://www.unisdr.org';'https://www.peru.gob.pe';'https://alerta.peru.gob.pe']";"['cómo actuar durante una emergencia';'cómo participar en un simulacro']"
saludo;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.ssalud.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.peru.gob.pe']";"['guía de preparación familiar';'medidas ante lluvias intensas';'sugerencias sobre la calidad del aire';'qué hacer si hay un huaico']"
simulacro_fecha;Buenos días, ¿qué temas cubre este asistente?;"['https://www.unisdr.org';'https://www.defensacivil.gob.pe';'https://alerta.peru.gob.pe']";"['medidas ante lluvias intensas';'guía de preparación familiar';'cómo participar en un simulacro']"
alertas_meteorologicas;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.gob.pe/indeci';'https://www.peru.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire']"
reportar_evento;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cenepred.gob.pe';'https://www.unisdr.org';'https://www.digemid.minsa.gob.pe';'https://www.ssalud.gob.pe']";"['explicación de desastres naturales';'alertas meteorológicas vigentes']"
recomendar_medidas;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://www.unisdr.org';'https://www.peru.gob.pe']";"['qué hacer si hay un huaico';'cómo participar en un simulacro';'sugerencias sobre la calidad del aire';'explicación de desastres naturales']"
refugios_cercanos;¿Puedes explicarme qué es un aluvión?;"['https://www.ssalud.gob.pe';'https://www.gob.pe/indeci';'https://www.defensacivil.gob.pe';'https://alerta.peru.gob.pe']";"['guía de preparación familiar';'alertas meteorológicas vigentes']"
rutas_evacuacion;No entiendo lo que estás diciendo.;"['https://www.minsa.gob.pe';'https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe']";"['cómo participar en un simulacro';'medidas ante lluvias intensas']"
agradecimiento;Hola, gracias por la atención.;"['https://www.minsa.gob.pe';'https://www.cenepred.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.defensacivil.gob.pe']";"['cómo actuar durante una emergencia';'prevención ante sismos']"
reportar_evento;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.peru.gob.pe';'https://www.defensacivil.gob.pe';'https://www.unisdr.org']";"['dónde acudir en caso de desastre';'prevención ante sismos']"
obtener_pronostico;¿Puedes explicarme qué es un aluvión?;"['https://www.defensacivil.gob.pe';'https://www.peru.gob.pe';'https://www.minsa.gob.pe';'https://www.cenepred.gob.pe']";"['cómo actuar durante una emergencia';'cómo participar en un simulacro';'líneas de ayuda y emergencia']"
simulacro_fecha;Hola, gracias por la atención.;"['https://www.onu.org.pe/prevencion';'https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe']";"['protocolos de evacuación';'cómo participar en un simulacro']"
saludo;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.unisdr.org';'https://www.onu.org.pe/prevencion']";"['protocolos de evacuación';'guía de preparación familiar';'explicación de desastres naturales']"
agradecimiento;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.senamhi.gob.pe';'https://www.gob.pe/indeci';'https://www.defensacivil.gob.pe';'https://www.digemid.minsa.gob.pe']";"['prevención ante sismos';'guía de preparación familiar']"
ayuda;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.senamhi.gob.pe';'https://www.gob.pe/indeci';'https://alerta.peru.gob.pe';'https://www.minsa.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire']"
despedida;Quiero reportar un huaico en mi zona.;"['https://www.senamhi.gob.pe';'https://www.minsa.gob.pe';'https://www.defensacivil.gob.pe']";"['prevención ante sismos';'sugerencias sobre la calidad del aire';'dónde acudir en caso de desastre']"
recomendar_medidas;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cruzroja.org.pe';'https://www.digemid.minsa.gob.pe';'https://alerta.peru.gob.pe';'https://www.ssalud.gob.pe']";"['cómo participar en un simulacro';'cómo actuar durante una emergencia']"
despedida;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.cruzroja.org.pe';'https://www.digemid.minsa.gob.pe';'https://www.onu.org.pe/prevencion']";"['líneas de ayuda y emergencia';'alertas meteorológicas vigentes']"
rutas_evacuacion;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.gob.pe/indeci';'https://www.onu.org.pe/prevencion']";"['dónde acudir en caso de desastre';'prevención ante sismos';'guía de preparación familiar';'qué hacer si hay un huaico']"
obtener_pronostico;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.cruzroja.org.pe';'https://www.digemid.minsa.gob.pe';'https://www.gob.pe/indeci';'https://www.senamhi.gob.pe']";"['medidas ante lluvias intensas';'guía de preparación familiar';'sugerencias sobre la calidad del aire';'cómo participar en un simulacro']"
reportar_evento;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.senamhi.gob.pe';'https://www.ssalud.gob.pe']";"['prevención ante sismos';'explicación de desastres naturales';'protocolos de evacuación']"
explicar_tipo_desastre;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://alerta.peru.gob.pe';'https://www.digemid.minsa.gob.pe';'https://www.defensacivil.gob.pe';'https://www.senamhi.gob.pe']";"['cómo actuar durante una emergencia';'prevención ante sismos']"
lenguaje_inapropiado;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.onu.org.pe/prevencion';'https://www.defensacivil.gob.pe';'https://alerta.peru.gob.pe';'https://www.cruzroja.org.pe']";"['cómo actuar durante una emergencia';'alertas meteorológicas vigentes';'explicación de desastres naturales']"
simulacro_fecha;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.ssalud.gob.pe';'https://www.peru.gob.pe']";"['guía de preparación familiar';'protocolos de evacuación';'medidas ante lluvias intensas']"
despedida;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cruzroja.org.pe';'https://www.gob.pe/indeci';'https://www.senamhi.gob.pe']";"['qué hacer si hay un huaico';'líneas de ayuda y emergencia']"
reportar_evento;¿Existen alertas meteorológicas vigentes para hoy?;"['https://www.senamhi.gob.pe';'https://www.peru.gob.pe';'https://www.minsa.gob.pe']";"['cómo actuar durante una emergencia';'líneas de ayuda y emergencia';'prevención ante sismos']"
ayuda;¿Existen alertas meteorológicas vigentes para hoy?;"['https://alerta.peru.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.minsa.gob.pe']";"['cómo participar en un simulacro';'dónde acudir en caso de desastre';'sugerencias sobre la calidad del aire';'alertas meteorológicas vigentes']"
reportar_evento;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.defensacivil.gob.pe';'https://www.digemid.minsa.gob.pe']";"['qué hacer si hay un huaico';'guía de preparación familiar';'cómo actuar durante una emergencia']"
rutas_evacuacion;Quiero reportar un huaico en mi zona.;"['https://www.digemid.minsa.gob.pe';'https://www.senamhi.gob.pe';'https://www.onu.org.pe/prevencion']";"['sugerencias sobre la calidad del aire';'explicación de desastres naturales';'prevención ante sismos']"
explicar_tipo_desastre;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://alerta.peru.gob.pe';'https://www.minsa.gob.pe';'https://www.unisdr.org']";"['guía de preparación familiar';'cómo actuar durante una emergencia';'protocolos de evacuación']"
alertas_meteorologicas;Hola, gracias por la atención.;"['https://www.gob.pe/indeci';'https://www.minsa.gob.pe';'https://www.cruzroja.org.pe']";"['protocolos de evacuación';'prevención ante sismos']"
agradecimiento;No entiendo lo que estás diciendo.;"['https://www.onu.org.pe/prevencion';'https://www.peru.gob.pe';'https://www.ssalud.gob.pe']";"['prevención ante sismos';'qué hacer si hay un huaico';'cómo participar en un simulacro']"
simulacro_fecha;¿Puedes explicarme qué es un aluvión?;"['https://www.peru.gob.pe';'https://www.unisdr.org']";"['prevención ante sismos';'líneas de ayuda y emergencia';'dónde acudir en caso de desastre']"
intencion_desconocida;Buenos días, ¿qué temas cubre este asistente?;"['https://www.cenepred.gob.pe';'https://www.onu.org.pe/prevencion';'https://www.unisdr.org']";"['líneas de ayuda y emergencia';'explicación de desastres naturales';'cómo participar en un simulacro';'qué hacer si hay un huaico']"
refugios_cercanos;No entiendo lo que estás diciendo.;"['https://www.ssalud.gob.pe';'https://alerta.peru.gob.pe';'https://www.cenepred.gob.pe';'https://www.cruzroja.org.pe']";"['dónde acudir en caso de desastre';'prevención ante sismos']"
rutas_evacuacion;¿Puedes explicarme qué es un aluvión?;"['https://www.minsa.gob.pe';'https://www.cenepred.gob.pe';'https://www.defensacivil.gob.pe']";"['líneas de ayuda y emergencia';'dónde acudir en caso de desastre']"
obtener_pronostico;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.ssalud.gob.pe';'https://www.minsa.gob.pe']";"['medidas ante lluvias intensas';'cómo actuar durante una emergencia']"
recomendar_medidas;Dónde puedo acudir si mi vivienda ha sido afectada por un desastre natural.;"['https://www.minsa.gob.pe';'https://www.unisdr.org';'https://www.defensacivil.gob.pe']";"['medidas ante lluvias intensas';'qué hacer si hay un huaico']"
simulacro_fecha;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.peru.gob.pe';'https://www.defensacivil.gob.pe']";"['medidas ante lluvias intensas';'sugerencias sobre la calidad del aire']"
